#EXPORTTYPE:DATA ALL
#FILE:30.05.2022 Îïèëêè  28-1000 10 Ar +MS SCB .ngb-ds5
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:30.05.2022
#DECIMAL:COMMA
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F5
#PROJECT:ÑÂ×
#DATE/TIME:30.05.2022 18:21
#CORR. FILE:Êîððåêöèÿ 2 26 -1000 10 Ar (50 ml-min) .ngb-bs5
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:108
#OPERATOR:Èáðàåâà
#REMARK:
#SAMPLE:Îïèëêè
#SAMPLE MASS /mg:5,03
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Al2O3 85 µl, with lid
#SAMPLE CRUCIBLE MASS /mg:231,87
#REFERENCE CRUCIBLE MASS /mg:224,00
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:ARGON,240,3 ml/min
#PROTECTIVE MFC:ARGON,240,3 ml/min
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:28°C/10,0(K/min)/1000°C
#SEGMENT:S1/1
#SEG. 1:28°C/10,0(K/min)/1000°C

##Temp./°C;Time/min;DSC/(uV/mg);Mass/%;QMID(s:1|m:16)/A;QMID(s:1|m:28)/A;QMID(s:1|m:44)/A;QMID(s:1|m:18)/A;QMID(s:1|m:2)/A;Sensit./(uV/mW)
 30,00000; 1,52765;5,380288e-02;99,94431;2,760521e-10;2,088675e-10;2,463453e-10;1,270906e-08;4,707325e-11;1,00000
 40,00000; 2,99405;     0,19496;99,89307;2,769331e-10;2,107214e-10;2,481403e-10;1,273936e-08;4,725752e-11;1,00000
 50,00000; 3,99318;     0,29617;99,85791;2,769667e-10;2,110773e-10;2,481553e-10;1,274213e-08;4,716298e-11;1,00000
 60,00000; 4,93757;     0,40075;99,78977;2,765547e-10;2,109281e-10;2,481419e-10;1,273575e-08;4,739477e-11;1,00000
 70,00000; 5,94488;     0,51570;99,69894;2,767701e-10;2,104257e-10;2,475767e-10;1,272813e-08;4,766562e-11;1,00000
 80,00000; 6,85626;     0,61984;99,58310;2,768548e-10;2,104267e-10;2,473934e-10;1,273361e-08;4,748494e-11;1,00000
 90,00000; 7,71313;     0,71741;99,45566;2,770483e-10;2,102996e-10;2,473108e-10;1,274213e-08;4,752066e-11;1,00000
100,00000; 8,53527;     0,81886;99,32289;2,770457e-10;2,102414e-10;2,473081e-10;1,274340e-08;4,780691e-11;1,00000
110,00000; 9,34243;     0,94100;99,20533;2,768121e-10;2,100696e-10;2,475088e-10;1,273379e-08;4,779743e-11;1,00000
120,00000;10,14805;     1,07518;99,11277;2,763383e-10;2,097583e-10;2,476818e-10;1,270842e-08;4,780141e-11;1,00000
130,00000;10,96366;     1,22162;99,05233;2,759389e-10;2,099187e-10;2,475995e-10;1,268118e-08;4,783643e-11;1,00000
140,00000;11,78989;     1,35737;99,00798;2,753514e-10;2,098793e-10;2,475022e-10;1,265457e-08;4,764132e-11;1,00000
150,00000;12,63270;     1,47870;98,96069;2,747857e-10;2,096937e-10;2,472811e-10;1,263210e-08;4,783881e-11;1,00000
160,00000;13,50071;     1,60110;98,91106;2,745144e-10;2,094426e-10;2,470142e-10;1,262396e-08;4,822865e-11;1,00000
