#EXPORTTYPE:DATA ALL
#FILE:31.05.2022 Îòðóáè  27-1000 10 Ar +MS SCB .ngb-ds5
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:31.05.2022
#DECIMAL:COMMA
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F5
#PROJECT:ÑÂ×
#DATE/TIME:31.05.2022 10:59
#CORR. FILE:Êîððåêöèÿ 2 26 -1000 10 Ar (50 ml-min) .ngb-bs5
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:108
#OPERATOR:Èáðàåâà
#REMARK:
#SAMPLE:Îòðóáè
#SAMPLE MASS /mg:5,02
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Al2O3 85 µl, with lid
#SAMPLE CRUCIBLE MASS /mg:224,86
#REFERENCE CRUCIBLE MASS /mg:224,00
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:ARGON,240,3 ml/min
#PROTECTIVE MFC:ARGON,240,3 ml/min
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:28°C/10,0(K/min)/1000°C
#SEGMENT:S1/1
#SEG. 1:28°C/10,0(K/min)/1000°C

##Temp./°C;Time/min;DSC/(uV/mg);Mass/%;QMID(s:1|m:16)/A;QMID(s:1|m:28)/A;QMID(s:1|m:44)/A;QMID(s:1|m:18)/A;QMID(s:1|m:2)/A;Sensit./(uV/mW)
 30,00000; 1,72132;5,197496e-02;99,83377;7,541967e-11;1,695753e-10;1,162417e-10;2,665195e-09;3,227623e-11;1,00000
 40,00000; 3,44663;     0,21353;99,67520;7,592193e-11;1,699670e-10;1,160803e-10;2,677320e-09;3,251175e-11;1,00000
 50,00000; 4,51158;     0,31034;99,58366;7,616611e-11;1,693511e-10;1,158321e-10;2,696306e-09;3,249277e-11;1,00000
 60,00000; 5,41361;     0,39443;99,43221;7,690297e-11;1,692719e-10;1,155602e-10;2,723751e-09;3,251722e-11;1,00000
 70,00000; 6,23272;     0,46123;99,18736;7,758279e-11;1,686547e-10;1,153438e-10;2,771784e-09;3,245677e-11;1,00000
 80,00000; 7,01071;     0,50031;98,83278;7,843894e-11;1,679295e-10;1,149737e-10;2,834529e-09;3,259883e-11;1,00000
 90,00000; 7,76665;     0,52297;98,36787;7,990172e-11;1,676200e-10;1,147918e-10;2,902384e-09;3,272127e-11;1,00000
100,00000; 8,51581;     0,56253;97,82695;8,134508e-11;1,673680e-10;1,151149e-10;2,959737e-09;3,296955e-11;1,00000
110,00000; 9,27471;     0,65795;97,31534;8,208683e-11;1,670437e-10;1,152775e-10;2,991424e-09;3,306402e-11;1,00000
120,00000;10,05134;     0,80257;96,85207;8,193166e-11;1,667576e-10;1,151601e-10;2,990656e-09;3,302246e-11;1,00000
130,00000;10,84575;     0,98055;96,50154;8,108456e-11;1,661386e-10;1,149560e-10;2,962779e-09;3,299032e-11;1,00000
140,00000;11,66080;     1,15534;96,28155;7,994882e-11;1,659456e-10;1,151930e-10;2,922175e-09;3,298158e-11;1,00000
150,00000;12,50240;     1,30839;96,10455;7,959361e-11;1,658387e-10;1,164116e-10;2,884534e-09;3,296056e-11;1,00000
