#EXPORTTYPE:DATA ALL
#FILE:6.06.2022 Ñêîðëóïà  28-1000 10 Ar +MS SCB.ngb-ds5
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:06.06.2022
#DECIMAL:COMMA
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F5
#PROJECT:ÑÂ×
#DATE/TIME:06.06.2022 12:03
#CORR. FILE:Êîððåêöèÿ 2 26 -1000 10 Ar (50 ml-min) .ngb-bs5
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:108
#OPERATOR:Èáðàåâà
#REMARK:
#SAMPLE:Ñêîðëóïà
#SAMPLE MASS /mg:5,07
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Al2O3 85 µl, with lid
#SAMPLE CRUCIBLE MASS /mg:225,84
#REFERENCE CRUCIBLE MASS /mg:224,00
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:ARGON,240,3 ml/min
#PROTECTIVE MFC:ARGON,240,3 ml/min
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:28°C/10,0(K/min)/1000°C
#SEGMENT:S1/1
#SEG. 1:28°C/10,0(K/min)/1000°C

##Temp./°C;Time/min;DSC/(uV/mg);Mass/%;QMID(s:1|m:16)/A;QMID(s:1|m:28)/A;QMID(s:1|m:44)/A;QMID(s:1|m:18)/A;QMID(s:1|m:2)/A;Sensit./(uV/mW)
 30,00000; 1,51009;3,012022e-02;99,89042;3,689440e-10;4,503157e-10;7,068361e-10;1,453826e-08;4,981156e-11;1,00000
 40,00000; 3,40123;     0,18095;99,68372;3,693585e-10;4,507941e-10;7,038995e-10;1,461255e-08;4,968150e-11;1,00000
 50,00000; 4,48968;     0,26675;99,60566;3,703193e-10;4,499042e-10;7,002478e-10;1,465481e-08;4,986394e-11;1,00000
 60,00000; 5,40300;     0,34641;99,48855;3,703930e-10;4,488783e-10;6,956176e-10;1,468758e-08;5,000693e-11;1,00000
 70,00000; 6,22969;     0,41967;99,29191;3,706723e-10;4,469536e-10;6,902109e-10;1,473186e-08;5,013519e-11;1,00000
 80,00000; 7,01100;     0,47925;99,03941;3,708718e-10;4,448080e-10;6,848757e-10;1,477825e-08;5,014682e-11;1,00000
 90,00000; 7,77040;     0,52834;98,73609;3,711788e-10;4,421448e-10;6,792821e-10;1,482710e-08;4,998599e-11;1,00000
100,00000; 8,52219;     0,59501;98,41244;3,713656e-10;4,398542e-10;6,743076e-10;1,486549e-08;5,006217e-11;1,00000
110,00000; 9,28277;     0,69211;98,09015;3,712661e-10;4,384927e-10;6,696234e-10;1,487485e-08;5,014703e-11;1,00000
120,00000;10,06108;     0,81626;97,78965;3,701763e-10;4,367860e-10;6,644271e-10;1,486029e-08;5,014488e-11;1,00000
130,00000;10,85577;     0,96103;97,57267;3,689653e-10;4,346405e-10;6,593309e-10;1,482922e-08;5,010061e-11;1,00000
