#EXPORTTYPE:DATA ALL
#FILE:6.06.2022 Ñîëîìà 29-1000 10 Ar +MS SCB.ngb-ds5
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:06.06.2022
#DECIMAL:COMMA
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F5
#PROJECT:ÑÂ×
#DATE/TIME:06.06.2022 16:28
#CORR. FILE:Êîððåêöèÿ 2 26 -1000 10 Ar (50 ml-min) .ngb-bs5
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:108
#OPERATOR:Èáðàåâà
#REMARK:
#SAMPLE:Ñîëîìà
#SAMPLE MASS /mg:5,01
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Al2O3 85 µl, with lid
#SAMPLE CRUCIBLE MASS /mg:228,54
#REFERENCE CRUCIBLE MASS /mg:224,00
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:ARGON,240,3 ml/min
#PROTECTIVE MFC:ARGON,240,3 ml/min
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:28°C/10,0(K/min)/1000°C
#SEGMENT:S1/1
#SEG. 1:28°C/10,0(K/min)/1000°C

##Temp./°C;Time/min;DSC/(uV/mg);Mass/%;QMID(s:1|m:2)/A;QMID(s:1|m:16)/A;QMID(s:1|m:28)/A;QMID(s:1|m:44)/A;QMID(s:1|m:18)/A;Sensit./(uV/mW)
 30,00000; 1,67154;3,696862e-02;99,94304;4,068099e-11;2,242491e-10;2,219227e-10;2,565550e-10;9,733553e-09;1,00000
 40,00000; 3,43621;     0,16064;99,81590;4,120875e-11;2,252562e-10;2,242056e-10;2,572958e-10;9,716705e-09;1,00000
 50,00000; 4,50669;     0,24869;99,85756;4,124482e-11;2,253695e-10;2,248602e-10;2,570556e-10;9,715338e-09;1,00000
 60,00000; 5,41093;     0,34179;99,81549;4,151777e-11;2,250848e-10;2,248202e-10;2,568322e-10;9,714387e-09;1,00000
 70,00000; 6,23115;     0,44905;99,74527;4,179247e-11;2,254544e-10;2,242587e-10;2,565794e-10;9,714392e-09;1,00000
 80,00000; 7,00994;     0,54106;99,63979;4,189964e-11;2,254421e-10;2,241163e-10;2,564352e-10;9,716496e-09;1,00000
 90,00000; 7,76526;     0,62254;99,57094;4,185473e-11;2,251185e-10;2,237376e-10;2,563026e-10;9,719063e-09;1,00000
100,00000; 8,51529;     0,70103;99,41606;4,181968e-11;2,247813e-10;2,236040e-10;2,558621e-10;9,719120e-09;1,00000
110,00000; 9,27448;     0,80139;99,31560;4,192106e-11;2,251948e-10;2,233798e-10;2,557422e-10;9,713373e-09;1,00000
120,00000;10,05182;     0,91788;99,18722;4,208454e-11;2,256592e-10;2,231219e-10;2,560506e-10;9,700373e-09;1,00000
130,00000;10,84731;     1,03880;99,10584;4,227011e-11;2,251306e-10;2,232416e-10;2,564682e-10;9,681715e-09;1,00000
140,00000;11,66258;     1,15868;99,03121;4,249505e-11;2,244633e-10;2,234513e-10;2,568674e-10;9,660977e-09;1,00000
150,00000;12,50404;     1,27256;98,99747;4,247342e-11;2,240942e-10;2,242312e-10;2,579316e-10;9,641809e-09;1,00000
160,00000;13,37787;     1,38184;98,94731;4,227336e-11;2,238872e-10;2,245912e-10;2,596508e-10;9,626504e-09;1,00000
170,00000;14,28368;     1,49809;98,85966;4,228370e-11;2,243001e-10;2,240553e-10;2,614333e-10;9,615670e-09;1,00000
180,00000;15,21663;     1,62729;98,66851;4,235839e-11;2,245922e-10;2,240774e-10;2,637363e-10;9,609051e-09;1,00000
190,00000;16,17195;     1,75538;98,46307;4,265916e-11;2,243753e-10;2,244472e-10;2,667511e-10;9,606655e-09;1,00000
200,00000;17,14793;     1,89062;98,06630;4,289553e-11;2,248585e-10;2,256393e-10;2,721300e-10;9,610029e-09;1,00000
210,00000;18,13832;     2,02857;97,53614;4,290546e-11;2,263737e-10;2,278513e-10;2,809272e-10;9,621768e-09;1,00000
220,00000;19,14243;     2,17972;96,77038;4,308923e-11;2,281316e-10;2,314412e-10;2,941596e-10;9,642634e-09;1,00000
230,00000;20,15203;     2,34214;95,75217;4,332325e-11;2,306724e-10;2,367453e-10;3,093020e-10;9,671579e-09;1,00000
240,00000;21,16567;     2,50660;94,48905;4,354339e-11;2,334073e-10;2,444610e-10;3,253851e-10;9,708097e-09;1,00000
250,00000;22,18027;     2,68024;92,99107;4,400975e-11;2,369455e-10;2,545268e-10;3,449199e-10;9,753612e-09;1,00000
