#EXPORTTYPE:DATA ALL
#FILE:31.05.2022 Îòðóáè  27-1000 10 Ar +MS SCB .ngb-ds5
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:31.05.2022
#DECIMAL:COMMA
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F5
#PROJECT:ÑÂ×
#DATE/TIME:31.05.2022 10:59
#CORR. FILE:Êîððåêöèÿ 2 26 -1000 10 Ar (50 ml-min) .ngb-bs5
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:108
#OPERATOR:Èáðàåâà
#REMARK:
#SAMPLE:Îòðóáè
#SAMPLE MASS /mg:5,02
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Al2O3 85 µl, with lid
#SAMPLE CRUCIBLE MASS /mg:224,86
#REFERENCE CRUCIBLE MASS /mg:224,00
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:ARGON,240,3 ml/min
#PROTECTIVE MFC:ARGON,240,3 ml/min
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:28°C/10,0(K/min)/1000°C
#SEGMENT:S1/1
#SEG. 1:28°C/10,0(K/min)/1000°C

##Temp./°C;Time/min;DSC/(uV/mg);Mass/%;QMID(s:1|m:16)/A;QMID(s:1|m:28)/A;QMID(s:1|m:44)/A;QMID(s:1|m:18)/A;QMID(s:1|m:2)/A;Sensit./(uV/mW)
 30,00000; 1,72132;5,197496e-02;99,83377;7,541967e-11;1,695753e-10;1,162417e-10;2,665195e-09;3,227623e-11;1,00000
 50,00000; 4,51158;     0,31034;99,58366;7,616611e-11;1,693511e-10;1,158321e-10;2,696306e-09;3,249277e-11;1,00000
 70,00000; 6,23272;     0,46123;99,18736;7,758279e-11;1,686547e-10;1,153438e-10;2,771784e-09;3,245677e-11;1,00000
 90,00000; 7,76665;     0,52297;98,36787;7,990172e-11;1,676200e-10;1,147918e-10;2,902384e-09;3,272127e-11;1,00000
110,00000; 9,27471;     0,65795;97,31534;8,208683e-11;1,670437e-10;1,152775e-10;2,991424e-09;3,306402e-11;1,00000
130,00000;10,84575;     0,98055;96,50154;8,108456e-11;1,661386e-10;1,149560e-10;2,962779e-09;3,299032e-11;1,00000
150,00000;12,50240;     1,30839;96,10455;7,959361e-11;1,658387e-10;1,164116e-10;2,884534e-09;3,296056e-11;1,00000
170,00000;14,28150;     1,56748;95,81249;7,939193e-11;1,652383e-10;1,202960e-10;2,855579e-09;3,295319e-11;1,00000
190,00000;16,17232;     1,81760;95,24708;8,181361e-11;1,655711e-10;1,279501e-10;2,901398e-09;3,316517e-11;1,00000
210,00000;18,13979;     2,09628;93,92096;8,513677e-11;1,684340e-10;1,365516e-10;3,012740e-09;3,351292e-11;1,00000
230,00000;20,15199;     2,42563;91,63903;9,026998e-11;1,780760e-10;1,556512e-10;3,119428e-09;3,394584e-11;1,00000
