#EXPORTTYPE:DATA ALL
#FILE:31.05.2022 Òîðô  29-1000 10 Ar +MS SCB .ngb-ds5
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:31.05.2022
#DECIMAL:COMMA
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F5
#PROJECT:ÑÂ×
#DATE/TIME:31.05.2022 19:03
#CORR. FILE:Êîððåêöèÿ 2 26 -1000 10 Ar (50 ml-min) .ngb-bs5
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:108
#OPERATOR:Èáðàåâà
#REMARK:
#SAMPLE:Òîðô
#SAMPLE MASS /mg:5,01
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Al2O3 85 µl, with lid
#SAMPLE CRUCIBLE MASS /mg:228,62
#REFERENCE CRUCIBLE MASS /mg:224,00
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:ARGON,240,3 ml/min
#PROTECTIVE MFC:ARGON,240,3 ml/min
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:28°C/10,0(K/min)/1000°C
#SEGMENT:S1/1
#SEG. 1:28°C/10,0(K/min)/1000°C

##Temp./°C;Time/min;DSC/(uV/mg);Mass/%;QMID(s:1|m:16)/A;QMID(s:1|m:44)/A;QMID(s:1|m:18)/A;QMID(s:1|m:2)/A;QMID(s:1|m:28)/A;Sensit./(uV/mW)
 30,00000; 1,37142;4,385634e-02;99,89994;1,344786e-10;1,726101e-10;5,304814e-09;5,082214e-11;1,730795e-10;1,00000
 50,00000; 4,48353;     0,36415;99,59540;1,354815e-10;1,738019e-10;5,339360e-09;5,114286e-11;1,764726e-10;1,00000
 70,00000; 6,22959;     0,58740;99,48001;1,360824e-10;1,747607e-10;5,354382e-09;5,153560e-11;1,768645e-10;1,00000
 90,00000; 7,77345;     0,73006;99,21800;1,367097e-10;1,742608e-10;5,395883e-09;5,169074e-11;1,766101e-10;1,00000
110,00000; 9,28765;     0,81481;98,69559;1,381232e-10;1,749654e-10;5,484079e-09;5,172581e-11;1,759457e-10;1,00000
130,00000;10,86171;     0,97005;98,02967;1,389686e-10;1,763696e-10;5,520917e-09;5,202240e-11;1,764116e-10;1,00000
150,00000;12,51843;     1,18797;97,48034;1,389864e-10;1,792038e-10;5,488829e-09;5,210820e-11;1,768869e-10;1,00000
170,00000;14,29561;     1,42814;97,05548;1,386701e-10;1,833729e-10;5,435604e-09;5,229732e-11;1,776905e-10;1,00000
190,00000;16,18121;     1,68325;96,61634;1,381408e-10;1,897987e-10;5,412300e-09;5,220854e-11;1,782567e-10;1,00000
210,00000;18,14434;     1,95516;96,13799;1,394984e-10;1,998865e-10;5,411326e-09;5,232556e-11;1,799393e-10;1,00000
230,00000;20,15532;     2,25198;95,43231;1,429128e-10;2,177505e-10;5,444318e-09;5,254233e-11;1,833852e-10;1,00000
250,00000;22,18351;     2,55018;94,07611;1,473607e-10;2,489067e-10;5,506415e-09;5,298768e-11;1,923621e-10;1,00000
270,00000;24,21189;     2,83033;91,77161;1,545690e-10;2,877645e-10;5,593214e-09;5,372049e-11;2,081248e-10;1,00000
290,00000;26,23858;     3,07420;88,40592;1,619846e-10;3,300807e-10;5,691219e-09;5,416175e-11;2,270593e-10;1,00000
310,00000;28,26384;     3,25372;84,14437;1,699909e-10;3,638375e-10;5,754549e-09;5,511993e-11;2,436628e-10;1,00000
330,00000;30,28395;     3,37975;79,88002;1,758463e-10;3,743954e-10;5,728335e-09;5,511209e-11;2,501650e-10;1,00000
350,00000;32,30307;     3,48518;76,07488;1,762006e-10;3,599777e-10;5,663215e-09;5,518260e-11;2,491834e-10;1,00000
370,00000;34,32219;     3,60607;73,09936;1,701603e-10;3,253490e-10;5,587340e-09;5,520927e-11;2,409150e-10;1,00000
390,00000;36,33809;     3,73491;70,81476;1,647826e-10;3,007145e-10;5,538943e-09;5,526186e-11;2,342888e-10;1,00000
410,00000;38,35504;     3,85324;68,75748;1,617543e-10;2,851791e-10;5,522385e-09;5,539724e-11;2,335871e-10;1,00000
430,00000;40,36755;     3,96780;66,88171;1,611261e-10;2,753264e-10;5,520374e-09;5,584371e-11;2,350698e-10;1,00000
450,00000;42,37821;     4,10033;65,08741;1,614013e-10;2,629602e-10;5,516404e-09;5,699878e-11;2,357813e-10;1,00000
470,00000;44,38591;     4,19959;63,50497;1,626560e-10;2,500823e-10;5,510853e-09;5,877441e-11;2,356351e-10;1,00000
490,00000;46,39083;     4,30854;62,31847;1,640222e-10;2,403734e-10;5,491059e-09;6,256866e-11;2,320008e-10;1,00000
510,00000;48,39303;     4,42656;61,47427;1,608525e-10;2,310957e-10;5,470640e-09;6,549581e-11;2,292388e-10;1,00000
530,00000;50,39606;     4,64003;60,80883;1,556735e-10;2,217147e-10;5,442808e-09;6,902300e-11;2,253425e-10;1,00000
550,00000;52,40018;     4,89092;60,29202;1,491048e-10;2,133741e-10;5,417710e-09;7,120604e-11;2,293131e-10;1,00000
570,00000;54,40322;     5,13696;59,80831;1,446565e-10;2,057078e-10;5,398532e-09;7,233071e-11;2,393575e-10;1,00000
590,00000;56,40297;     5,35387;59,29124;1,405129e-10;1,963145e-10;5,383619e-09;7,433988e-11;2,763174e-10;1,00000
610,00000;58,40494;     5,55285;58,45156;1,375915e-10;1,855040e-10;5,369290e-09;7,814927e-11;3,718268e-10;1,00000
630,00000;60,40658;     5,62473;57,35192;1,382561e-10;1,920744e-10;5,362871e-09;7,286688e-11;4,207828e-10;1,00000
650,00000;62,40818;     5,63372;55,97084;1,406139e-10;2,164308e-10;5,358807e-09;6,966050e-11;4,677731e-10;1,00000
670,00000;64,41027;     5,57227;54,16934;1,450541e-10;2,593768e-10;5,347487e-09;6,858765e-11;5,206723e-10;1,00000
690,00000;66,41451;     5,40887;51,53207;1,538272e-10;3,254977e-10;5,339652e-09;6,877031e-11;6,602400e-10;1,00000
710,00000;68,41822;     5,15407;47,53394;1,638552e-10;3,980392e-10;5,332018e-09;6,846274e-11;8,836392e-10;1,00000
730,00000;70,41693;     5,77666;43,66512;1,466147e-10;2,449763e-10;5,324513e-09;6,856714e-11;8,018278e-10;1,00000
750,00000;72,41892;     5,97601;43,01391;1,325650e-10;1,784093e-10;5,324396e-09;6,321443e-11;2,954648e-10;1,00000
770,00000;74,42212;     6,11441;42,61387;1,320367e-10;1,757409e-10;5,318079e-09;6,488081e-11;2,610576e-10;1,00000
