#EXPORTTYPE:DATA ALL
#FILE:6.06.2022 Ñêîðëóïà  28-1000 10 Ar +MS SCB.ngb-ds5
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:06.06.2022
#DECIMAL:COMMA
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F5
#PROJECT:ÑÂ×
#DATE/TIME:06.06.2022 12:03
#CORR. FILE:Êîððåêöèÿ 2 26 -1000 10 Ar (50 ml-min) .ngb-bs5
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:108
#OPERATOR:Èáðàåâà
#REMARK:
#SAMPLE:Ñêîðëóïà
#SAMPLE MASS /mg:5,07
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Al2O3 85 µl, with lid
#SAMPLE CRUCIBLE MASS /mg:225,84
#REFERENCE CRUCIBLE MASS /mg:224,00
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:ARGON,240,3 ml/min
#PROTECTIVE MFC:ARGON,240,3 ml/min
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:28°C/10,0(K/min)/1000°C
#SEGMENT:S1/1
#SEG. 1:28°C/10,0(K/min)/1000°C

##Temp./°C;Time/min;DSC/(uV/mg);Mass/%;QMID(s:1|m:16)/A;QMID(s:1|m:28)/A;QMID(s:1|m:44)/A;QMID(s:1|m:18)/A;QMID(s:1|m:2)/A;Sensit./(uV/mW)
 30,00000; 1,51009;3,012022e-02;99,89042;3,689440e-10;4,503157e-10;7,068361e-10;1,453826e-08;4,981156e-11;1,00000
 50,00000; 4,48968;     0,26675;99,60566;3,703193e-10;4,499042e-10;7,002478e-10;1,465481e-08;4,986394e-11;1,00000
 70,00000; 6,22969;     0,41967;99,29191;3,706723e-10;4,469536e-10;6,902109e-10;1,473186e-08;5,013519e-11;1,00000
 90,00000; 7,77040;     0,52834;98,73609;3,711788e-10;4,421448e-10;6,792821e-10;1,482710e-08;4,998599e-11;1,00000
110,00000; 9,28277;     0,69211;98,09015;3,712661e-10;4,384927e-10;6,696234e-10;1,487485e-08;5,014703e-11;1,00000
130,00000;10,85577;     0,96103;97,57267;3,689653e-10;4,346405e-10;6,593309e-10;1,482922e-08;5,010061e-11;1,00000
150,00000;12,51159;     1,23545;97,38967;3,671959e-10;4,306091e-10;6,497140e-10;1,475456e-08;4,994092e-11;1,00000
170,00000;14,28916;     1,46987;97,25850;3,660410e-10;4,274253e-10;6,428348e-10;1,471909e-08;4,992712e-11;1,00000
190,00000;16,17655;     1,71276;97,07681;3,647933e-10;4,244723e-10;6,368116e-10;1,471823e-08;5,018628e-11;1,00000
210,00000;18,14158;     1,97771;96,70972;3,646898e-10;4,198887e-10;6,289140e-10;1,473478e-08;5,025225e-11;1,00000
230,00000;20,15238;     2,27444;96,00560;3,655926e-10;4,189822e-10;6,285387e-10;1,478018e-08;5,036892e-11;1,00000
250,00000;22,18060;     2,62355;94,41570;3,689171e-10;4,242976e-10;6,474638e-10;1,489864e-08;5,117604e-11;1,00000
270,00000;24,20646;     3,03467;90,57844;3,798810e-10;4,545277e-10;7,163013e-10;1,513033e-08;5,214551e-11;1,00000
290,00000;26,23346;     3,34250;84,89908;3,871046e-10;4,941963e-10;7,606439e-10;1,528534e-08;5,333397e-11;1,00000
310,00000;28,25950;     3,55989;78,11711;3,908833e-10;5,185745e-10;7,834552e-10;1,538338e-08;5,377918e-11;1,00000
330,00000;30,28176;     3,71825;69,64849;3,973297e-10;5,604204e-10;8,240718e-10;1,551139e-08;5,454602e-11;1,00000
350,00000;32,30152;     3,83125;56,99084;4,164375e-10;6,663239e-10;9,429863e-10;1,586449e-08;5,702258e-11;1,00000
370,00000;34,32254;     3,80281;47,73696;3,970255e-10;5,466766e-10;7,931548e-10;1,552499e-08;5,567815e-11;1,00000
390,00000;36,33963;     3,97155;45,05646;3,805112e-10;4,536130e-10;6,446818e-10;1,512593e-08;5,354415e-11;1,00000
410,00000;38,35301;     4,19156;42,95717;3,873164e-10;4,461396e-10;6,135993e-10;1,506922e-08;5,316170e-11;1,00000
430,00000;40,36431;     4,37210;41,03047;3,908697e-10;4,443440e-10;5,932325e-10;1,505467e-08;5,326184e-11;1,00000
450,00000;42,37452;     4,50811;39,48766;3,833575e-10;4,404460e-10;5,717886e-10;1,501937e-08;5,277042e-11;1,00000
470,00000;44,38094;     4,57651;38,25716;3,779003e-10;4,253405e-10;5,699570e-10;1,498076e-08;5,263456e-11;1,00000
490,00000;46,38689;     4,71696;37,26748;3,781213e-10;4,089450e-10;5,684542e-10;1,495861e-08;5,242664e-11;1,00000
510,00000;48,39139;     4,83162;36,40227;3,783365e-10;3,990114e-10;5,625832e-10;1,492898e-08;5,267508e-11;1,00000
530,00000;50,39307;     4,88149;35,65946;3,783911e-10;3,858086e-10;5,581039e-10;1,491188e-08;5,271036e-11;1,00000
550,00000;52,39372;     4,92544;34,98914;3,764393e-10;3,781396e-10;5,433477e-10;1,490503e-08;5,265468e-11;1,00000
570,00000;54,39600;     5,04595;34,40433;3,732466e-10;3,745812e-10;5,303122e-10;1,489895e-08;5,285203e-11;1,00000
590,00000;56,40123;     5,31956;33,88240;3,698438e-10;3,717277e-10;5,174011e-10;1,489062e-08;5,313669e-11;1,00000
610,00000;58,40697;     5,71258;33,41578;3,643143e-10;3,700763e-10;5,049180e-10;1,489301e-08;5,383255e-11;1,00000
630,00000;60,41256;     6,11095;33,04287;3,586387e-10;3,709108e-10;4,881358e-10;1,490126e-08;5,417854e-11;1,00000
650,00000;62,41482;     6,50351;32,74480;3,532639e-10;3,737684e-10;4,695184e-10;1,490623e-08;5,481846e-11;1,00000
670,00000;64,41818;     6,87877;32,48206;3,482300e-10;3,779912e-10;4,513845e-10;1,490746e-08;5,604272e-11;1,00000
690,00000;66,42127;     7,23373;32,28132;3,451492e-10;3,768204e-10;4,435491e-10;1,491363e-08;5,833929e-11;1,00000
710,00000;68,42307;     7,56967;32,07053;3,433369e-10;3,747987e-10;4,386194e-10;1,490571e-08;6,088736e-11;1,00000
730,00000;70,42372;     7,82908;31,86809;3,408002e-10;3,731748e-10;4,341962e-10;1,490881e-08;6,287044e-11;1,00000
750,00000;72,42329;     8,06714;31,66681;3,398802e-10;3,696115e-10;4,308382e-10;1,490752e-08;6,352480e-11;1,00000
770,00000;74,42314;     8,29889;31,53390;3,395326e-10;3,650328e-10;4,287065e-10;1,490531e-08;6,196707e-11;1,00000
790,00000;76,42199;     8,52275;31,43196;3,385682e-10;3,594425e-10;4,268225e-10;1,489720e-08;5,970530e-11;1,00000
810,00000;78,42246;     8,73626;31,31145;3,384122e-10;3,544905e-10;4,269579e-10;1,489276e-08;5,651427e-11;1,00000
830,00000;80,42583;     9,07909;31,24295;3,379170e-10;3,470143e-10;4,296979e-10;1,487711e-08;5,553390e-11;1,00000
850,00000;82,42821;     9,46406;31,17060;3,380683e-10;3,429194e-10;4,280340e-10;1,486351e-08;5,466868e-11;1,00000
870,00000;84,42317;     9,58431;31,09928;3,374051e-10;3,404008e-10;4,258109e-10;1,485083e-08;5,462841e-11;1,00000
890,00000;86,41020;     9,37304;31,04137;3,376662e-10;3,392892e-10;4,243730e-10;1,483079e-08;5,401406e-11;1,00000
