#EXPORTTYPE:DATA ALL
#FILE:6.06.2022 Ñîëîìà 29-1000 10 Ar +MS SCB.ngb-ds5
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:06.06.2022
#DECIMAL:COMMA
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F5
#PROJECT:ÑÂ×
#DATE/TIME:06.06.2022 16:28
#CORR. FILE:Êîððåêöèÿ 2 26 -1000 10 Ar (50 ml-min) .ngb-bs5
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:108
#OPERATOR:Èáðàåâà
#REMARK:
#SAMPLE:Ñîëîìà
#SAMPLE MASS /mg:5,01
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Al2O3 85 µl, with lid
#SAMPLE CRUCIBLE MASS /mg:228,54
#REFERENCE CRUCIBLE MASS /mg:224,00
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:ARGON,240,3 ml/min
#PROTECTIVE MFC:ARGON,240,3 ml/min
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:28°C/10,0(K/min)/1000°C
#SEGMENT:S1/1
#SEG. 1:28°C/10,0(K/min)/1000°C

##Temp./°C;Time/min;DSC/(uV/mg);Mass/%;QMID(s:1|m:2)/A;QMID(s:1|m:16)/A;QMID(s:1|m:28)/A;QMID(s:1|m:44)/A;QMID(s:1|m:18)/A;Sensit./(uV/mW)
 30,00000; 1,67154;3,696862e-02;99,94304;4,068099e-11;2,242491e-10;2,219227e-10;2,565550e-10;9,733553e-09;1,00000
 50,00000; 4,50669;     0,24869;99,85756;4,124482e-11;2,253695e-10;2,248602e-10;2,570556e-10;9,715338e-09;1,00000
 70,00000; 6,23115;     0,44905;99,74527;4,179247e-11;2,254544e-10;2,242587e-10;2,565794e-10;9,714392e-09;1,00000
 90,00000; 7,76526;     0,62254;99,57094;4,185473e-11;2,251185e-10;2,237376e-10;2,563026e-10;9,719063e-09;1,00000
110,00000; 9,27448;     0,80139;99,31560;4,192106e-11;2,251948e-10;2,233798e-10;2,557422e-10;9,713373e-09;1,00000
130,00000;10,84731;     1,03880;99,10584;4,227011e-11;2,251306e-10;2,232416e-10;2,564682e-10;9,681715e-09;1,00000
150,00000;12,50404;     1,27256;98,99747;4,247342e-11;2,240942e-10;2,242312e-10;2,579316e-10;9,641809e-09;1,00000
170,00000;14,28368;     1,49809;98,85966;4,228370e-11;2,243001e-10;2,240553e-10;2,614333e-10;9,615670e-09;1,00000
190,00000;16,17195;     1,75538;98,46307;4,265916e-11;2,243753e-10;2,244472e-10;2,667511e-10;9,606655e-09;1,00000
210,00000;18,13832;     2,02857;97,53614;4,290546e-11;2,263737e-10;2,278513e-10;2,809272e-10;9,621768e-09;1,00000
230,00000;20,15203;     2,34214;95,75217;4,332325e-11;2,306724e-10;2,367453e-10;3,093020e-10;9,671579e-09;1,00000
250,00000;22,18027;     2,68024;92,99107;4,400975e-11;2,369455e-10;2,545268e-10;3,449199e-10;9,753612e-09;1,00000
270,00000;24,20821;     3,02558;88,74034;4,492719e-11;2,462913e-10;2,874493e-10;4,040732e-10;9,879346e-09;1,00000
290,00000;26,23508;     3,33350;82,68994;4,614667e-11;2,589172e-10;3,366319e-10;4,781780e-10;1,003978e-08;1,00000
310,00000;28,26038;     3,53713;74,44336;4,743843e-11;2,714186e-10;3,993019e-10;5,528577e-10;1,024218e-08;1,00000
330,00000;30,28121;     3,64183;62,34949;4,948158e-11;2,881293e-10;5,010876e-10;6,746240e-10;1,048810e-08;1,00000
350,00000;32,30272;     3,54119;49,94379;5,009680e-11;2,830775e-10;4,701407e-10;6,465036e-10;1,040626e-08;1,00000
370,00000;34,32450;     3,53299;44,88246;4,824065e-11;2,549674e-10;3,383482e-10;4,564195e-10;1,001290e-08;1,00000
390,00000;36,34040;     3,66036;42,60942;4,709515e-11;2,487096e-10;2,931082e-10;3,812442e-10;9,770553e-09;1,00000
410,00000;38,35371;     3,78823;40,63742;4,645593e-11;2,497749e-10;2,885237e-10;3,599821e-10;9,678268e-09;1,00000
430,00000;40,36519;     3,88351;38,87390;4,628153e-11;2,477539e-10;2,885749e-10;3,448744e-10;9,619390e-09;1,00000
450,00000;42,37502;     3,97612;37,42330;4,645328e-11;2,448239e-10;2,876057e-10;3,314918e-10;9,559667e-09;1,00000
470,00000;44,38357;     4,05063;36,26926;4,633726e-11;2,447884e-10;2,843777e-10;3,220481e-10;9,500680e-09;1,00000
490,00000;46,38765;     4,08973;35,35732;4,655396e-11;2,461314e-10;2,781351e-10;3,167616e-10;9,445802e-09;1,00000
510,00000;48,39087;     4,09540;34,64989;4,650908e-11;2,463913e-10;2,599042e-10;3,207687e-10;9,392169e-09;1,00000
530,00000;50,39209;     4,10537;34,14955;4,641218e-11;2,440788e-10;2,502215e-10;3,178987e-10;9,343251e-09;1,00000
550,00000;52,39164;     4,04892;33,67502;4,653348e-11;2,401414e-10;2,469129e-10;3,121111e-10;9,296949e-09;1,00000
570,00000;54,39079;     3,92052;33,28018;4,661304e-11;2,348359e-10;2,446438e-10;3,033720e-10;9,255887e-09;1,00000
590,00000;56,38925;     3,79445;32,93291;4,703577e-11;2,301105e-10;2,443618e-10;2,942741e-10;9,219540e-09;1,00000
610,00000;58,38983;     3,71876;32,66222;4,804093e-11;2,258043e-10;2,489445e-10;2,836678e-10;9,186096e-09;1,00000
630,00000;60,39091;     3,72515;32,41669;5,037041e-11;2,216964e-10;2,517611e-10;2,806145e-10;9,150920e-09;1,00000
650,00000;62,39363;     3,85804;32,13494;5,284797e-11;2,176967e-10;2,540732e-10;2,774793e-10;9,114966e-09;1,00000
670,00000;64,39876;     4,11292;31,92049;5,518371e-11;2,150756e-10;2,562027e-10;2,727476e-10;9,078663e-09;1,00000
690,00000;66,40588;     4,41302;31,74702;5,652282e-11;2,120640e-10;2,565206e-10;2,685672e-10;9,044333e-09;1,00000
710,00000;68,41291;     4,72070;31,58141;5,683407e-11;2,100226e-10;2,567761e-10;2,663901e-10;9,013623e-09;1,00000
730,00000;70,41918;     5,02494;31,42353;5,609545e-11;2,093145e-10;2,557345e-10;2,651097e-10;8,981085e-09;1,00000
750,00000;72,42279;     5,31721;31,28632;5,524179e-11;2,083232e-10;2,532492e-10;2,640214e-10;8,949802e-09;1,00000
770,00000;74,42597;     5,61012;31,08975;5,312850e-11;2,078387e-10;2,501335e-10;2,633274e-10;8,918804e-09;1,00000
790,00000;76,42873;     5,93787;31,06264;5,136495e-11;2,069344e-10;2,462767e-10;2,648181e-10;8,885876e-09;1,00000
810,00000;78,43144;     6,27114;31,03914;4,940863e-11;2,062673e-10;2,422810e-10;2,666900e-10;8,852962e-09;1,00000
830,00000;80,43397;     6,65746;30,88792;4,824224e-11;2,062938e-10;2,358239e-10;2,720243e-10;8,817912e-09;1,00000
850,00000;82,43844;     7,26137;30,78151;4,750868e-11;2,059670e-10;2,303355e-10;2,753264e-10;8,782331e-09;1,00000
870,00000;84,43897;     7,83623;30,75174;4,702878e-11;2,050739e-10;2,277853e-10;2,754458e-10;8,751395e-09;1,00000
890,00000;86,42825;     7,90001;30,64468;4,690473e-11;2,052526e-10;2,261688e-10;2,743976e-10;8,720421e-09;1,00000
910,00000;88,40946;     7,48304;30,60644;4,691376e-11;2,044982e-10;2,265435e-10;2,736335e-10;8,688878e-09;1,00000
930,00000;90,39476;     6,87168;30,54244;4,687233e-11;2,041364e-10;2,261341e-10;2,722182e-10;8,658190e-09;1,00000
950,00000;92,38397;     6,38840;30,51579;4,696962e-11;2,036324e-10;2,255857e-10;2,718858e-10;8,623955e-09;1,00000
970,00000;94,37772;     6,04096;30,50179;4,685651e-11;2,033388e-10;2,264364e-10;2,715034e-10;8,591857e-09;1,00000
990,00000;96,37196;     5,72398;30,44482;4,666610e-11;2,024740e-10;2,264563e-10;2,712653e-10;8,567044e-09;1,00000

